TP,FP,FN,TN,precision,recall,f1,fpr,latency_steps,latency_minutes,model,threshold_key,threshold_value,persistence,baseline_fpr,fault_type
108,24,0,13157,0.8181818181818182,1.0,0.9,0.0018208026705105833,2.0,20.0,majority_vote,p1,N/A,3,0.0018060049665136,stuck_closed
99,24,9,13133,0.8048780487804879,0.9166666666666666,0.8571428571428571,0.0018241240404347496,10.0,100.0,majority_vote,p1,N/A,4,0.0018060049665136,stuck_open
155,281,3,12850,0.3555045871559633,0.9810126582278481,0.5218855218855218,0.02139974107074861,55.0,550.0,lof,p1,-2.4910227887781087,6,0.0221988110467303,supply_curve
