n_rows,n_occ,ddh_abs_C_h,ddh_cold_C_h,ddh_hot_C_h,n_htg_active,dh_energy_kWh_est,avg_heat_power_kW_est,zone_temp_mean_C,intended_sp_mean_C,return_temp_flow_wtd_C,inlet_temp_flow_wtd_C,t_supply_mean_C,comp_active_rate,supply_temp_cmd_mean_C,fault_type,scenario,run_key,run_dir
108,108,0.07088616390746662,0.07088616390746662,0.0,108,710.8398283344235,39.49110157413461,21.99606187978292,22.0,54.762738789687596,59.99999999999999,,,,stuck_closed,baseline,baseline_detect,runs\2026-02-21_2241_baseline_detect
108,108,9.855583352468386,9.854030623231322,0.0015527292370653234,108,627.4662488607942,34.8592360478219,21.45264011700032,22.0,46.795968555635774,60.00000000000001,,,,stuck_closed,faulty_no_comp,stuckclosed_detect,runs\2026-08-08_2149_stuckclosed_detect
108,108,6.082161862456795,6.080434042652901,0.0017278198038934314,108,660.2918288288012,36.682879379377844,21.66229409873061,22.0,53.90549669623008,67.80339890021713,,0.9444444444444444,68.51852909072365,stuck_closed,compensated,stuckclosed_comp,runs\2026-08-08_2221_stuckclosed_comp
108,108,0.07088616390746662,0.07088616390746662,0.0,108,710.8398283344235,39.49110157413461,21.99606187978292,22.0,54.762738789687596,59.99999999999999,,,,stuck_open,baseline,baseline_detect,runs\2026-02-21_2241_baseline_detect
108,108,30.54833618070822,0.05972117829125935,30.488615002416957,108,1029.1313601325849,57.173964451810285,23.69049410134031,22.0,54.09970062629751,59.999999999999986,,,,stuck_open,faulty_no_comp,stuckopen_detect,runs\2026-02-21_2328_stuckopen_detect
108,108,9.566370866104734,0.0618176661757609,9.504553199928974,105,874.8173601826522,49.9895634390087,22.524596418541844,22.0,50.54940245458858,55.87560323228522,,0.5092592592592593,55.33056075770638,stuck_open,compensated,stuckopen_comp,runs\2026-03-23_0027_stuckopen_comp
288,204,14.603152727021122,14.603152727021122,0.0,180,1316.8684388339907,43.89561462779969,21.246671978617023,21.67617647058824,54.50055816456145,59.99999999999995,,,,supply_curve,baseline,baseline_detect,runs\2026-02-21_2241_baseline_detect
288,204,21.021327815300168,21.021327815300168,0.0,180,1279.928039641274,42.66426798804247,21.05790212307941,21.67617647058824,47.333084577266696,51.99999999999999,52.0,,,supply_curve,faulty_no_comp,supplycurve_detect,runs\2026-02-23_1623_supplycurve_detect
288,204,17.3496617578608,17.3496617578608,0.0,180,1306.8883877416733,43.56294625805576,21.165892301239392,21.67617647058824,60.4573827317333,66.51484809786069,67.72222226793042,0.8055555555555556,67.88194444444444,supply_curve,compensated,supplycurve_comp,runs\2026-03-25_2155_supplycurve_comp
