run_dir,run_name,fault_type,target_C,alpha,ddh_fdc_C_h,ddh_baseline_C_h,ddh_faulty_C_h,J_D_residual_discomfort,recovery_pct,energy_fdc_kWh,J_E_vs_baseline,energy_delta_vs_baseline_pct,energy_delta_vs_faulty_pct,tret_fdc_C,J_R_return_shift_K,zone_temp_mean_C,comp_active_rate,n_comp_cycles,first_comp_min_after_window_start
runs\2026-08-08_2227_stuckclosed_comp_t60,stuckclosed_comp_t60,stuck_closed,60.0,0.2,9.855583352468386,0.0708861639074666,9.855583352468386,1.0,0.0,627.4662488607942,0.882711159180567,-11.728884081943306,0.0,46.795968555635774,-7.966770234051829,21.45264011700032,0.9444444444444444,2,35.0
runs\2026-08-08_2232_stuckclosed_comp_t65,stuckclosed_comp_t65,stuck_closed,65.0,0.2,7.569522144266874,0.0708861639074666,9.855583352468386,0.766363622282139,23.363637771786106,647.3928442562043,0.9107436281013087,-8.925637189869134,3.175723862691922,50.27647458546122,-4.48626420422638,21.57960849302988,0.9444444444444444,2,35.0
runs\2026-08-08_2237_stuckclosed_comp_t70_a01,stuckclosed_comp_t70_a01,stuck_closed,70.0,0.1,6.887967725530726,0.0708861639074666,9.855583352468386,0.696708485735559,30.3291514264441,653.629777862221,0.919517663203746,-8.04823367962541,4.169710968347444,53.182066275162065,-1.5806725145255385,21.61753534317715,0.9444444444444444,2,35.0
runs\2026-08-08_2221_stuckclosed_comp,stuckclosed_comp,stuck_closed,70.0,0.2,6.082161862456795,0.0708861639074666,9.855583352468386,0.6143548014523109,38.56451985476891,660.2918288288012,0.9288897477451962,-7.111025225480386,5.231449504671202,53.90549669623008,-0.857242093457522,21.66229409873061,0.9444444444444444,2,35.0
runs\2026-08-08_2239_stuckclosed_comp_t70_a04,stuckclosed_comp_t70_a04,stuck_closed,70.0,0.4,5.476072029941368,0.0708861639074666,9.855583352468386,0.5524121760613081,44.75878239386919,665.2290149607181,0.9358353154175723,-6.416468458242773,6.018294397265945,54.2376419927511,-0.5250967969365021,21.695968351137967,0.9444444444444444,2,35.0
runs\2026-08-03_1354_stuckopen_comp_t50_a01,stuckopen_comp_t50_a01,stuck_open,50.0,0.1,9.859509183842611,0.0708861639074666,30.54833618070822,0.32117591906603565,67.88240809339644,873.8452916637245,1.2293139140940386,22.931391409403847,-15.089042515316464,50.92773462114517,-3.835004168542433,22.540906463854228,0.5092592592592593,8,110.0
runs\2026-03-23_0027_stuckopen_comp,stuckopen_comp,stuck_open,50.0,0.2,9.566370866104734,0.0708861639074666,30.54833618070822,0.3115577155228821,68.84422844771179,874.8173601826522,1.230681407135622,23.068140713562194,-14.994587273101082,50.54940245458858,-4.213336335099022,22.524596418541844,0.5092592592592593,8,110.0
runs\2026-08-03_1400_stuckopen_comp_t50_a04,stuckopen_comp_t50_a04,stuck_open,50.0,0.4,11.60268536084678,0.0708861639074666,30.54833618070822,0.37837152355536263,62.16284764446374,885.284101995284,1.2454058800694987,24.54058800694986,-13.977541032154415,50.68114598604533,-4.081592803642273,22.637726556184205,0.49074074074074076,8,110.0
runs\2026-08-03_1249_stuckopen_comp_t55,stuckopen_comp_t55,stuck_open,55.0,0.2,12.5035634566516,0.0708861639074666,30.54833618070822,0.4079303644461921,59.206963555380796,887.2498339004583,1.248171245524302,24.817124552430183,-13.786532189034423,52.54251108944781,-2.2202277002397963,22.687817051231605,0.48148148148148145,8,110.0
runs\2026-08-03_1252_stuckopen_comp_t60,stuckopen_comp_t60,stuck_open,60.0,0.2,14.86457437918352,0.0708861639074666,30.54833618070822,0.4853978337138115,51.46021662861885,906.5967958422468,1.2753882938249304,27.538829382493045,-11.906600948838221,54.171624480573975,-0.5911143091136282,22.818977329706986,0.4444444444444444,8,110.0
runs\2026-08-03_1258_supplycurve_comp_t60,supplycurve_comp_t60,supply_curve,60.0,0.2,18.35247565022195,14.603152727021122,21.021327815300168,0.5841727393894085,41.58272606105915,1299.9721038580449,0.9871693067601297,-1.2830693239870283,1.566030557654531,53.41722478247703,-1.0833333820844189,21.136397774993473,0.8055555555555556,1,560.0
runs\2026-08-03_1303_supplycurve_comp_t65,supplycurve_comp_t65,supply_curve,65.0,0.2,17.71457295102974,14.603152727021122,21.021327815300168,0.484782696204523,51.521730379547705,1304.5370548219078,0.9906358268993054,-0.9364173100694589,1.9226874026082759,56.9746642839435,2.47410611938205,21.155159619087364,0.8055555555555556,1,560.0
runs\2026-08-03_1407_supplycurve_comp_t70_a01,supplycurve_comp_t70_a01,supply_curve,70.0,0.1,17.349854447201103,14.603152727021122,21.021327815300168,0.42795680741026265,57.20431925897373,1306.9160455125623,0.9924423784275362,-0.7557621572463742,2.1085564996960526,60.20357137849441,5.703013213932962,21.16588663390585,0.8055555555555556,1,560.0
runs\2026-03-25_2155_supplycurve_comp,supplycurve_comp,supply_curve,70.0,0.2,17.3496617578608,14.603152727021122,21.021327815300168,0.4279267849603214,57.207321503967854,1306.8883877416733,0.9924213757441449,-0.7578624255855125,2.106395614862505,60.4573827317333,5.95682456717185,21.165892301239392,0.8055555555555556,1,560.0
runs\2026-08-03_1412_supplycurve_comp_t70_a04,supplycurve_comp_t70_a04,supply_curve,70.0,0.4,17.349880361266408,14.603152727021122,21.021327815300168,0.42796084501673926,57.203915498326076,1306.8052809642672,0.9923582663438774,-0.7641733656122693,2.0999025328428784,60.59719314410946,6.096634979548014,21.165885871727458,0.8055555555555556,1,560.0
