timestep,month,day,hour,minute,in_fault,alarm,flow_ratio,temp_error,temp_error_2h_avg,t_supply,S_stuck_closed,S_stuck_open,S_supply_curve,state,diagnosed_fault
342,10,3,8,60,0,0,0.2121917237025734,-5.231902239799524e-05,-0.0001374906209585,60.00000000000001,False,False,False,not_alarmed,
343,10,3,9,10,0,0,0.1884609092469444,-5.422668742482984e-05,-0.0001389387622425,60.0,False,False,False,not_alarmed,
344,10,3,9,20,0,0,0.1591415871554806,-3.422258245677767e-05,-0.0001272673854852,60.0,False,False,False,not_alarmed,
345,10,3,9,30,0,0,0.1250230559403184,-2.3943496792355745e-05,-0.0001123088731788,60.00000000000001,False,False,False,not_alarmed,
346,10,3,9,40,0,0,0.0803718092661236,-1.41726223965577e-05,-9.546065475222558e-05,60.00000000000001,False,False,False,not_alarmed,
474,10,4,6,60,0,0,0.7475141056726186,-0.0005694663793036,-0.034606474077495,60.0,False,False,False,not_alarmed,
475,10,4,7,12,0,0,0.689887109235237,-5.434568330642264e-05,-0.0025119821073854,60.00000000000001,False,False,False,not_alarmed,
476,10,4,7,20,0,0,0.6754778523891258,-0.0002191839870455,-0.0004368838459131,60.00000000000001,False,False,False,not_alarmed,
477,10,4,7,30,0,0,0.6647622408661086,-0.0002718647703439,-0.0003719347752782,59.99999999999999,False,False,False,not_alarmed,
478,10,4,7,40,0,0,0.6541847964990409,-0.0003087334247631,-0.0003688990539754,60.0,False,False,False,not_alarmed,
479,10,4,7,50,0,0,0.643868488430969,-0.0003454475771285,-0.0003746704437889,60.0,False,False,False,not_alarmed,
480,10,4,7,60,0,0,0.6333779514256809,-0.0003860048435662,-0.000383981049605,60.0,False,False,False,not_alarmed,
481,10,4,8,10,0,0,0.4683996330371235,-0.0002436587701382,-0.0003697875391403,60.0,False,False,False,not_alarmed,
482,10,4,8,20,0,0,0.4419634420513903,-0.0001359708976522,-0.0003419917422323,59.99999999999999,False,False,False,not_alarmed,
483,10,4,8,30,0,0,0.4165017363699144,-0.0001620138350908,-0.0003138590729676,59.99999999999999,False,False,False,not_alarmed,
484,10,4,8,40,0,0,0.3942598683828505,-0.0002155891814652,-0.0002882109055925,60.0,False,False,False,not_alarmed,
485,10,4,8,50,0,0,0.3737660625356873,-0.000135125998824,-0.000253950445719,59.99999999999999,False,False,False,not_alarmed,
486,10,4,8,60,0,0,0.3556871016083071,-0.0001619318186385,-0.0002199892323302,60.0,False,False,False,not_alarmed,
487,10,4,9,10,0,0,0.3255795923653264,-0.0001232549544774,-0.0002257316715944,60.00000000000001,False,False,False,not_alarmed,
