scope,gated_steps,alarmed_steps,state_single_stuck_closed,state_no_signature_abstain,ladder_stuck_closed,ladder_none,state_single_supply_curve,ladder_supply_curve
fault_window,108,108,98.0,10,104.0,4,,
normal,13181,24,,21,,13,3.0,11.0
